Year,State,Variety,Release,Acreage,Yield
1987,Idaho,Ahtanum,Proprietary,NA,NA
1987,Idaho,Amarillo,Proprietary,NA,NA
1987,Idaho,Apollo,Proprietary,NA,NA
1987,Idaho,Aquila,Public,NA,NA
1987,Idaho,Azacca,Proprietary,NA,NA
1987,Idaho,Banner,Public,NA,NA
1987,Idaho,Bravo,Proprietary,NA,NA
1987,Idaho,Calypso,Proprietary,NA,NA
1987,Idaho,Cascade,Public,NA,NA
1987,Idaho,Cashmere,Public,NA,NA
1987,Idaho,Centennial,Public,NA,NA
1987,Idaho,Chelan,Proprietary,NA,NA
1987,Idaho,Chinook,Public,180,1530
1987,Idaho,Citra,Proprietary,NA,NA
1987,Idaho,Cluster,Public,510,1890
1987,Idaho,Columbus/Tomahawk,Proprietary,NA,NA
1987,Idaho,Comet,Public,NA,NA
1987,Idaho,Crystal,Public,NA,NA
1987,Idaho,Ekuanot,Proprietary,NA,NA
1987,Idaho,ElDorado,Proprietary,NA,NA
1987,Idaho,Eroica,Public,440,1770
1987,Idaho,Eureka,Proprietary,NA,NA
1987,Idaho,Experimental,Unknown,NA,NA
1987,Idaho,Fuggle,Public,NA,NA
1987,Idaho,Galena,Public,480,2040
1987,Idaho,Glacier,Public,NA,NA
1987,Idaho,Golding,Public,NA,NA
1987,Idaho,Hallertauer,Public,NA,NA
1987,Idaho,Horizon,Public,NA,NA
1987,Idaho,Idaho7,Proprietary,NA,NA
1987,Idaho,Jarrylo,Proprietary,NA,NA
1987,Idaho,Liberty,Public,NA,NA
1987,Idaho,Loral,Proprietary,NA,NA
1987,Idaho,Magnum,Public,NA,NA
1987,Idaho,Millenium,Proprietary,NA,NA
1987,Idaho,Mosaic,Proprietary,NA,NA
1987,Idaho,MountHood,Public,NA,NA
1987,Idaho,MountRainier,Public,NA,NA
1987,Idaho,NorthernBrewer,Public,NA,NA
1987,Idaho,Nugget,Public,NA,NA
1987,Idaho,Olympic,Public,NA,NA
1987,Idaho,OtherVarieties,Unknown,540,1510
1987,Idaho,Pahto,Proprietary,NA,NA
1987,Idaho,Palisade,Proprietary,NA,NA
1987,Idaho,Pekko,Proprietary,NA,NA
1987,Idaho,Perle,Public,NA,NA
1987,Idaho,Saaz,Public,NA,NA
1987,Idaho,Sabro,Proprietary,NA,NA
1987,Idaho,Santiam,Public,NA,NA
1987,Idaho,Simcoe,Proprietary,NA,NA
1987,Idaho,SorachiAce,Public,NA,NA
1987,Idaho,Sterling,Public,NA,NA
1987,Idaho,Strata,Proprietary,NA,NA
1987,Idaho,Summit,Proprietary,NA,NA
1987,Idaho,SuperGalena,Proprietary,NA,NA
1987,Idaho,Tahoma,Public,NA,NA
1987,Idaho,Tettnanger,Public,NA,NA
1987,Idaho,Tillicum,Proprietary,NA,NA
1987,Idaho,Triumph,Public,NA,NA
1987,Idaho,Vanguard,Public,NA,NA
