"Identifier","n","Median","Boot.median","Conf.level","Percentile.lower","Percentile.upper","Plot_Median","mildew"
"1101_001M",12,0,0,0.95,0,0,0,"HPM 204"
"1108_002M",6,0,0,0.95,0,0,0,"HPM 204"
"1110_002M",12,0,0,0.95,0,0,0,"HPM 204"
"1125_004M",12,0,0,0.95,0,0,0,"HPM 204"
"21184M",12,0,0,0.95,0,0,0,"HPM 204"
"21265M",12,9.2,9.6,0.95,8,14,9.6,"HPM 204"
"21318M",12,8,8.1,0.95,6,10,8.1,"HPM 204"
"21321M",12,2,2,0.95,0,4.5,2,"HPM 204"
"21322M",12,1.2,1.4,0.95,0,3.5,1.4,"HPM 204"
"21329M",12,2,1.9,0.95,1,2.5,1.9,"HPM 204"
"31051M",12,1,1.1,0.95,0,2.5,1.1,"HPM 204"
"31058M",12,0,0,0.95,0,0,0,"HPM 204"
"31061M",12,0,0,0.95,0,0,0,"HPM 204"
"Nugget",18,0,0,0.95,0,0,0,"HPM 204"
"Symphony",18,22,21,0.95,10,23,21,"HPM 204"
"Target",19,2.6,2.6,0.95,2.4,2.7,2.6,"HPM 204"
"W1108_333",12,0.5,0.55,0.95,0,1.5,0.55,"HPM 204"
"W1108_408",8,0.5,NA,0.95,0.5,1.8,0.5,"HPM 204"
"Zenith",4,9.5,9.5,0.95,9,10,9.5,"HPM 204"
